,Transportation Total,On-Road Total,Passenger Vehicles,Heavy-Duty Vehicles,Aviation + Rail + Ships,Off-Road + Unspecified,Car Registrations
2000,178.4,164.8,125.2,39.5,9.1,4.6,
2001,178.7,165.3,125.9,39.4,8.7,4.7,
2002,186.0,171.6,130.8,40.7,9.7,4.7,
2003,183.3,168.4,127.8,40.6,10.3,4.7,
2004,184.9,169.4,127.0,42.4,10.5,4.9,
2005,186.6,170.2,126.9,43.3,11.2,5.2,
2006,186.5,169.6,126.0,43.7,11.5,5.4,
2007,186.2,169.6,125.2,44.4,11.5,5.0,
2008,174.8,159.8,118.8,41.0,10.1,4.9,
2009,168.0,155.1,117.4,37.7,9.0,3.9,
2010,165.1,151.2,114.1,37.1,9.9,4.1,754.0
2011,161.8,148.1,111.4,36.7,10.0,3.7,5857.0
2012,161.4,147.7,111.8,35.9,9.8,3.8,18356.0
2013,161.3,147.1,111.5,35.6,10.2,3.9,52427.0
2014,162.6,147.9,112.2,35.7,10.5,4.2,108939.0
2015,166.2,151.2,116.3,34.9,10.5,4.5,166168.0
2016,169.8,155.2,119.0,36.1,10.3,4.3,230171.0
2017,171.2,156.6,120.1,36.5,10.3,4.3,322762.0
2018,169.6,154.6,119.5,35.1,10.6,4.4,448567.0
2019,166.1,151.6,119.1,32.5,9.8,4.8,559969.0
